,Id,MSSubClass,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,pred_price
859,860,60,11029,6,7,1968,1984,619,0,435,1054,1512,1142,0,2654,1,0,2,1,4,1,9,1,2,619,0,65,0,0,222,0,0,8,2006,187500.0
224,225,20,13472,10,5,2003,2003,56,0,2336,2392,2392,0,0,2392,0,0,2,0,3,1,8,1,3,968,248,105,0,0,0,0,0,6,2009,466500.0
356,357,20,9248,6,6,1992,1992,560,0,598,1158,1167,0,0,1167,1,0,2,0,3,1,6,0,2,400,120,26,0,0,0,0,0,7,2009,173000.0
827,828,20,8529,7,5,2001,2001,20,0,1434,1454,1434,0,0,1434,0,0,2,0,3,1,6,1,2,527,290,39,0,0,0,0,0,4,2009,192000.0
1393,1394,190,10800,6,7,1905,2000,0,0,482,482,1221,691,0,1912,0,0,2,0,3,2,7,1,2,672,0,25,212,0,0,0,0,4,2008,136900.0
1044,1045,20,9600,8,5,1981,1981,1104,0,1420,2524,2524,0,0,2524,1,0,2,1,4,1,9,1,2,542,474,120,0,0,0,0,0,7,2009,402000.0
1385,1386,50,5436,4,8,1922,2007,735,0,61,796,796,358,0,1154,1,0,1,0,3,1,7,0,1,240,0,96,0,0,0,0,0,5,2010,129000.0
665,666,60,11194,8,5,2000,2000,0,0,1406,1406,1454,482,0,1936,0,0,2,1,3,1,7,1,2,504,188,124,0,0,0,0,0,11,2006,239500.0
648,649,60,7700,6,5,1966,1966,0,0,756,756,1051,788,0,1839,0,0,1,1,4,1,7,1,2,442,0,124,216,0,0,0,0,6,2010,167500.0
986,987,50,5310,6,8,1910,2003,0,0,485,485,1001,634,0,1635,0,0,1,0,2,1,5,0,1,255,394,0,0,0,0,0,0,6,2006,137500.0
1018,1019,80,10784,7,5,1991,1992,0,0,384,384,802,670,0,1472,0,0,2,1,3,1,7,1,2,402,164,0,0,0,0,0,0,5,2007,170000.0
1172,1173,160,4017,7,5,2006,2007,0,0,625,625,625,625,0,1250,0,0,2,1,2,1,5,0,2,625,0,54,0,0,0,0,0,3,2008,164700.0
376,377,85,8846,5,5,1996,1996,298,0,572,870,914,0,0,914,0,0,1,0,2,1,5,0,2,576,0,0,0,0,0,0,0,7,2006,131000.0
116,117,20,11616,5,5,1962,1962,170,670,252,1092,1092,0,0,1092,0,1,1,0,3,1,6,1,1,288,0,20,144,0,0,0,0,9,2009,157000.0
446,447,20,16492,6,6,1966,2002,247,713,557,1517,1888,0,0,1888,0,0,2,1,2,1,6,1,2,578,0,0,0,0,0,0,0,6,2010,221000.0
560,561,20,11341,5,6,1957,1996,1302,0,90,1392,1392,0,0,1392,1,0,1,1,3,1,5,1,2,528,0,0,0,0,95,0,0,5,2010,170000.0
